Date With Month wise Rainfall in mm,Nagar,Parner,Shrigonda,Karjat,Jamkhed,Shegaon,Pathardi,Newasa,Rahuri,Sangamner,Akola,Kopargaon,Shrirampur,Rahata,DISTRICT - Ahilyanagar(Ahmadnagar)
01/06/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/06/2025,0.1,1.8,1.5,0.2,0.4,0.2,0,0,0.1,1.2,0.3,0.5,0.1,0,0.5
03/06/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/06/2025,0,0,0,0,0,0,0,0,0,0.1,0.6,0,0,0,0.1
05/06/2025,0.8,1.5,1.4,0.1,1.4,1.7,0.2,4.3,0,0,0.1,0,0,0,0.9
06/06/2025,4.8,14.6,4.3,2.6,3.8,0.2,0,3.1,4.3,8.8,1,2.9,12,2.7,4.7
07/06/2025,2.9,5.3,6.1,6.8,0.1,0,0,0,3.1,0.9,0,0.1,0.2,3.1,2.2
08/06/2025,0.8,7.3,13.3,13.1,14.5,0,0,1.6,14,0,6.8,0.6,1.2,8.6,5.8
09/06/2025,0,1.3,1.9,4.1,5.9,0.8,0.1,0.2,0,0,0,0,0,0,1
10/06/2025,0,0,0,0,5.3,0.1,2.1,0,0,0,0,0,0.4,0,0.5
11/06/2025,0.1,0,0,0.1,0.4,0,0,0,0,0,0,0,0,0.3,0
12/06/2025,21.4,10,20.8,20.1,7.1,24,21,14.8,3.2,4.2,2.1,6.7,0.4,3.7,12.3
13/06/2025,16,28.8,7.2,2.5,5.3,21.6,17.1,19.6,30,26,22.1,28.6,27,28.3,19.3
14/06/2025,2.9,13,14.7,15,5.9,3.4,0.7,1.2,1.3,1.7,2.2,3,0.4,0.1,5.1
15/06/2025,5.1,3,0,0,0,2.8,0.7,2.9,11.7,9.6,7.8,2.3,1.3,0,3.7
16/06/2025,1.2,1.4,2,0.5,0,1.8,0,1.4,0,0.1,2.2,3.3,2.5,2.4,1.2
17/06/2025,0,1,0.4,0,0.1,0,0,0.1,0,1.8,9.6,0.6,0.1,0,1.1
18/06/2025,0.3,0.5,0.5,0.1,0.4,0,0,0,0,1,1.1,0.1,0,0.2,0.3
19/06/2025,3.8,5.1,2.4,0.5,0.3,0.4,0.1,3.1,6.6,23.4,50.5,2.8,4.8,4.5,8.6
20/06/2025,7.1,9.4,7.7,5,5.7,5.7,1.6,2.3,0.6,14.7,25.1,13.7,1.2,10.6,8.2
21/06/2025,0,0.1,0.8,0.1,0,0,0,0,0,0.1,0.4,0,0,0.1,0.1
22/06/2025,0.1,0.2,0.2,0.5,0,0,0,0,0,0.6,1,0.1,0,0.3,0.2
23/06/2025,0,0,0.1,0,0,0,0,0,0.6,0.4,0.5,0.2,0.1,0,0.1
24/06/2025,0.4,2.8,1.1,0.7,0.9,0,0,0.2,0,1.1,1.5,0.9,0.7,1,0.8
25/06/2025,0,0,0,0,0.2,0,0,0,0,0.1,0.2,0,0,0,0
26/06/2025,0,0.2,0,0,0.1,0.6,0.1,0,0,0,0.1,0.3,0.2,0.1,0.1
27/06/2025,2,3.2,0.2,0,0.2,1.4,2.6,1.4,0.5,0.4,0.4,0.6,0.5,0.7,1.1
28/06/2025,0.4,0.4,0.1,0,1.1,0,0,0.3,0.2,0.4,1,1.5,0.1,0,0.4
29/06/2025,0.2,0.5,0.4,0.3,0.1,0,0.1,0,0,0.4,3.2,0,0,0,0.4
30/06/2025,0.6,0.3,0.2,0.1,0.1,0.2,0.1,0.7,0,0.9,4.2,0,0.1,0.1,0.6
01/07/2025,0.8,1.7,1.8,2.4,0.6,0.6,1.4,0.5,0.5,1.3,9.8,0.6,0,0.1,1.8
02/07/2025,0.7,0.7,1,3.4,3.4,0.1,0.5,0,0.1,0.9,2.4,1.4,0.1,0.6,1.1
03/07/2025,0.3,0.3,0.2,0.1,0,0.3,1.7,0,0,0.6,5.2,0.3,0,0.6,0.7
04/07/2025,0.2,0.3,0,0,0,0,0,0,0,1.1,2.4,0.4,0,0.3,0.4
05/07/2025,0,0.3,0.2,0.2,0.2,0,0,0,0.1,1.4,4.4,0.5,0.2,0.1,0.6
06/07/2025,0.7,1.4,0.7,1.4,1.2,0,0.1,0.1,0,1.6,7.2,2,0.4,0.2,1.3
07/07/2025,1.7,4.6,1,0.5,0.8,3.9,0,6.6,7,12.6,15.7,14,6.2,7,5.7
08/07/2025,3,1.4,0.4,0.6,1.3,8.3,2.7,10.1,12.3,8,10.5,17.9,6.1,6.8,6
09/07/2025,2.4,2.1,3,5.4,0.2,1.8,1.6,1.1,2.5,6.4,5.4,5.4,1.2,4,3.2
10/07/2025,7.2,5.1,3.7,10.4,0.1,4.3,10,8.4,7.1,2.8,6.3,1.9,10.5,11.3,6.3
11/07/2025,0.1,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
12/07/2025,1.1,0,0,0,0.4,9.8,0.9,0.6,0,0.2,0.4,0.2,0.4,0.9,1
13/07/2025,0.3,0,0.1,0,0.7,1,2.7,1,0,0,0.4,0.9,3.4,4.2,0.8
14/07/2025,1.2,0.5,0,0.1,0.1,0.2,0.8,0,0,0,0.3,0,0,0,0.3
15/07/2025,0,0.2,0.4,0,0.3,0.4,0,0.1,0.1,0.2,1.6,0.1,0.1,0,0.3
16/07/2025,6.8,1.2,11.6,3,1,1.5,3.1,0.5,3.4,2,1.2,1.1,3,10.9,3.6
17/07/2025,0,0,0,0,2.8,1.8,0,0,0,0,0,0,0,0,0.3
18/07/2025,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0
19/07/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/07/2025,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0
21/07/2025,0,0,0,0,0,0,9.5,0,0.2,0,0.1,0,0,0,0.7
22/07/2025,13.5,3,11.4,16.6,25.3,9.4,11.3,3.6,3.4,0.4,0,0.1,0.1,0.7,7.3
23/07/2025,0.9,0.1,0.1,0,2.4,0.2,0,0.3,0.8,0,0.2,0,0.7,0.2,0.4
24/07/2025,1.1,0.7,2.9,7.5,10.7,0.6,0.2,0.8,0.1,0.3,0.5,0.4,0.4,0.8,1.9
25/07/2025,0.1,1,0.8,1.1,1.7,0.2,0.6,0.3,0.1,0.1,0.8,0.3,1.2,0.9,0.6
26/07/2025,4.1,3.3,10.8,13.4,29.7,12.9,7.6,9.6,2.3,2.7,6.1,5.3,3.5,7.5,8.2
27/07/2025,1.5,2.2,1.5,7.8,7.9,3.6,1.3,9.4,4.4,8.6,13.6,6.5,10.1,7.5,5.9
28/07/2025,0,0.1,0.4,0.4,0,0,0,0.1,0.2,0.1,3.7,0.1,0.1,0.2,0.4
29/07/2025,0,0.2,0.2,0,0.1,0,0.1,0,0.3,0.4,3.2,0.2,0.1,0.6,0.4
30/07/2025,0.3,1.9,0.5,0.3,0.5,0,0,0.1,1,0.2,2.2,0.1,0.3,0.5,0.6
31/07/2025,0.1,0.3,0,0.2,0.4,0.1,0,0.3,0.1,0.1,1.3,0.5,0.1,0,0.2
01/08/2025,0.2,0.5,1.5,0.9,1.5,0,0,0,0,0,1.7,0,0.1,0,0.5
02/08/2025,0,0,0,0.2,0,0,0.1,0,0,0.1,1.9,0,0,0,0.2
03/08/2025,0.5,0,0,0,0,0.3,0.2,0,0.2,0,0.5,0.7,0,0,0.2
04/08/2025,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
05/08/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/08/2025,0.2,0.9,0,3.5,1.6,1.3,2.9,0,0,0,0,0,0,0,0.7
07/08/2025,7.8,5,1.8,6.1,7.7,0.1,2.6,0.3,3.6,1.7,1.8,2.1,1.1,6.8,3.5
08/08/2025,1.4,15.3,6.8,10.9,1.5,12.2,8.3,5,5.6,2.8,0,1.1,2.2,4,5.7
09/08/2025,25.3,2.2,17,14.5,3.3,2.4,15.4,5.1,3.4,0,0,0.5,0.2,0.1,7.4
10/08/2025,7.4,0.8,13.4,11.6,3,3.7,17.5,1,1.7,0,0,0.5,0.6,0,4.8
11/08/2025,3.5,0.1,7.3,33.3,10.8,3.5,8.8,6.2,1.3,0.1,0,0.9,0.4,2.3,5.9
12/08/2025,2,0,0.8,2.7,24,1.3,0.5,1,0.3,0.1,0.1,0,0.1,0,2.1
13/08/2025,8.1,0,0,1.5,19.6,0.4,0,1.9,1.9,0,0.1,0,1.4,0,2.4
14/08/2025,0.3,0.7,0.2,0.3,2,0.3,0.8,0,0,0.5,4.3,0.2,0,0.6,0.7
15/08/2025,22.7,2.9,5.3,6.9,36.1,33.1,42.2,14.8,16.2,2.1,1.1,11.7,1,6.9,14.2
16/08/2025,4.3,1.3,0.6,0.4,3.3,17.1,9.1,14.2,3.4,0.5,0.1,2,6.9,2.2,4.5
17/08/2025,3.6,1.1,0.8,0.8,1,25.2,6.6,15.1,5,2.2,1.7,5.6,6.9,15.3,5.9
18/08/2025,4.3,0.8,0.6,1.5,5.5,21.3,9.8,23.3,6.9,7.5,2.4,16.3,16.2,14,8.4
19/08/2025,1.2,2.4,12.7,10.8,4,1.4,2,2.7,2,0.4,0.3,1.7,9.8,4.6,3.9
20/08/2025,1.9,9.6,17.6,11.1,12,0.2,0.3,0.4,6.6,11.3,37.3,5.6,1.8,5.1,9.3
21/08/2025,1.2,4.1,0.5,0.3,0,1,0.1,1.5,2.1,4.2,10,4.4,2.8,1.3,2.4
22/08/2025,0.2,0.3,0.1,0,0,0,0,0,0,0.8,8.1,0.7,0,0,0.8
23/08/2025,0.7,0.9,1,0.1,0.6,0,0.1,0.1,0.1,0.6,5.5,0.3,0,0,0.8
24/08/2025,0.2,0.6,1,1,0.2,0.1,0,0,0,1.3,8.5,0,0.1,0.7,1.1
25/08/2025,0.3,0.1,0.2,0,0,0,0,0,0.1,0.9,10.2,0.1,0,0,1
26/08/2025,0,0.3,0.2,0,0,0,0,0,0,0.5,2,0,0,0.5,0.3
27/08/2025,0.6,1.4,0.9,0.2,0.8,0.1,0.5,0.8,0,0.3,0.9,0.8,0,2,0.6
28/08/2025,10,4.6,15.9,11.8,18.2,4.7,7.3,2.3,0.6,0,0.9,0.3,2.2,0.2,5.9
29/08/2025,34.8,13.2,11.7,12.4,28.5,69.7,68.2,46.5,15.3,3,0.5,4.1,11,6.4,23.5
30/08/2025,2.3,1.7,9,15,1.6,11.3,45.9,22.7,8.7,8,0.3,0.2,10.1,4.7,10.4
31/08/2025,4.3,0.1,0,0.6,20.7,2.5,1.7,4.2,0.2,0,0,0,0.2,2.2,2.4
01/09/2025,0.1,0.1,0,0.2,0.2,0.5,2.8,0.1,0,0.1,0.2,0,0,0,0.3
02/09/2025,0.1,0.2,0,0,0.1,0,0,0,0,0.5,1.2,0,0.1,0,0.2
03/09/2025,0,0,0,0,0,0,0,0,0,0.3,0.5,0,0,0,0.1
04/09/2025,1.7,0,0,0.9,9,16.5,3.3,3.2,0.4,0.1,0,1,0,0.1,2.4
05/09/2025,0,0,0,0,0,0,0,0,0.1,0.4,0.6,0,0,0.1,0.1
06/09/2025,0.3,0.8,0,0,0,0.8,0,6.1,3.3,3.4,2.4,3.5,6.8,11.8,2.4
07/09/2025,0,0,0,0,0,0,0,0.1,0.2,0,0.4,0,0.1,0,0.1
08/09/2025,0.1,0.3,1.3,0.6,0.5,0.3,1.2,1.4,0.3,0.2,1.1,0,1.3,0,0.6
09/09/2025,0.5,1.8,0,0,0,0,0,0.3,1.5,0.3,0.1,0,1.3,0.6,0.4
10/09/2025,1.6,2,0,0,0,0,0,0,0.1,0,0,0,0,0,0.3
11/09/2025,4.4,15.6,2.7,0.9,0.5,0,0.8,0.3,0.1,0,0,0,0,0,2.1
12/09/2025,3.8,1.9,0.4,8,0,0,0,0.1,0,0,0,0,0,0,1.2
13/09/2025,0.4,0.6,0.3,0.7,0.5,0.4,0.6,0.4,0.2,0.1,0.4,0,0.3,0.2,0.4
14/09/2025,30.1,18.1,21.2,68.1,37.3,90.3,71.7,78.5,27.7,15.1,10.2,6.6,33.9,18.3,38.1
15/09/2025,21.2,34.8,69.3,50.1,20.9,5,52.7,7.1,1.8,1.4,1,5,9.8,7.5,22.3
16/09/2025,33.9,43.3,9.8,5.6,13.2,21.9,54.1,34,35.8,16.9,2,25.3,64,30.8,26.1
17/09/2025,1.8,1.1,0,1,0.6,0.7,5.4,6.6,3.8,4.2,7.3,3,32.2,8.3,4.5
18/09/2025,2.7,4.6,5,14.4,1.2,6.9,9.4,2.3,0.1,4.1,3.2,1.8,0.1,4.3,4.6
19/09/2025,8.2,24.7,16.5,17.8,3.7,6.1,5.1,30.3,26.5,12.1,5.1,8.2,1.2,26.4,13.9
20/09/2025,8.4,13,7.6,8.8,34,2.3,16.5,17.4,3.8,0.9,1.3,4.3,20.1,4.8,9.6
21/09/2025,24.6,17.4,5.1,3.9,11.8,5.4,26.5,12.2,2.8,0,0,0,0.5,0,8.7
22/09/2025,57.3,20.3,46.7,45.6,66,56.9,110.5,25,5.6,0.4,0.4,0,4.8,6,33.3
23/09/2025,55.3,37,36,53.5,85.2,120.6,91.7,54.7,18.5,10.7,3,19.2,20.9,20.3,45
24/09/2025,1.8,0.7,1.4,0.3,10.2,0,0.5,1,0,0.4,0.4,0,0.2,0,1.2
