Sl No,District/Taluk/Hobli,Pre-monsoon Normal (mm),Pre-Monsoon Actual (mm),%DEP,Southwest Monsoon Normal(mm),SWM Actual(mm),%DEP,North East Monsoon Normal(mm),NEM Actual MM(mm),%DEP,Annual Normal(mm),Annual Actual (mm),%DEP
1,BENGALURU URBAN,156,215,38,471,579,23,219,289,32,846,1082,28
2,BENGALURU RURAL,141,198,40,444,590,33,213,168,-21,798,956,20
3,RAMANAGARA,178,205,16,436,516,18,226,240,6,840,961,14
4,KOLAR,117,127,9,399,601,51,219,254,16,735,983,34
5,CHIKKABALLAPURA,108,107,-1,416,628,51,211,227,8,736,962,31
6,TUMAKURU,125,134,8,358,527,47,186,167,-10,669,828,24
7,CHITRADURGA,103,95,-8,282,505,79,155,169,9,540,769,42
8,DAVANAGERE,105,114,8,393,540,38,161,172,7,659,826,25
9,CHAMARAJANAGARA,203,229,13,320,434,35,263,222,-16,787,885,13
10,MYSURU,205,210,2,419,443,6,214,170,-20,837,822,-2
11,MANDYA,166,229,38,316,372,18,217,219,1,699,820,17
12,BALLARI,92,100,9,368,547,49,154,167,9,614,814,33
13,KOPPALA,82,100,22,383,554,45,149,196,31,614,849,38
14,RAICHUR,69,72,5,440,612,39,146,142,-3,654,826,26
15,KALABURAGI,67,65,-3,576,823,43,127,180,41,770,1068,39
16,BIDAR,71,81,14,650,814,25,117,154,32,838,1049,25
17,BELAGAVI,95,78,-18,599,772,29,133,144,8,826,993,20
18,BAGALKOTE,80,59,-26,362,518,43,141,162,15,582,739,27
19,VIJAYAPURA,63,60,-4,396,544,37,133,133,0,591,737,25
20,GADAG,106,117,11,372,486,31,147,131,-11,624,734,18
21,HAVERI,122,89,-27,512,547,7,166,128,-23,800,764,-4
22,DHARWAD,125,151,20,514,704,37,148,132,-10,787,987,25
23,SHIVAMOGGA,129,111,-14,1991,1804,-9,205,207,1,2325,2122,-9
24,HASSAN,168,191,13,754,781,4,220,189,-14,1142,1161,2
25,CHIKKAMAGALURU,164,184,12,1447,1355,-6,221,215,-3,1833,1753,-4
26,KODAGU,253,248,-2,2188,2067,-6,288,226,-22,2729,2541,-7
27,DAKSHINA KANNADA,243,225,-7,3388,3183,-6,376,509,35,4006,3917,-2
28,UDUPI,201,172,-15,4022,4572,14,312,416,33,4535,5159,14
29,UTTARA KANNADA,103,105,2,2647,3217,22,187,216,16,2936,3538,20
30,YADGIR,68,61,-9,517,748,45,134,116,-13,719,925,29
